Country,Year,State,Type of Region,Month,Peak demand MW,Peak demand met MW,Peak Demand Not Met MW,Peak demand not met %
India,FY-2023,Puducherry,Southern Region,Feb-24,464.955414,464.955414,0,0.00%
India,FY-2023,Punjab,Northern Region,Feb-24,10180.12,10180.12,0,0.00%
India,FY-2023,Rajasthan,Northern Region,Feb-24,17867,17867,0,0.00%
India,FY-2023,Sikkim,Eastern Region,Feb-24,132.9169343,132.511119,0.41,0.00%
India,FY-2023,Tamil Nadu,Southern Region,Feb-24,17996.1874,17996.1874,0,0.00%
India,FY-2023,Telangana,Southern Region,Feb-24,15164,15164,0,0.00%
India,FY-2023,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Feb-24,1304,1304,0,0.00%
India,FY-2023,Tripura,North East Region,Feb-24,419.003,418,1,0.00%
India,FY-2023,Uttar Pradesh,Northern Region,Feb-24,20346,19726,620,3.00%
India,FY-2023,UttarakhAnd,Northern Region,Feb-24,2523,2328,195,8.00%
India,FY-2023,West Bengal,Eastern Region,Feb-24,7607.968845,7607.968845,0,0.00%
India,FY-2023,Andaman And Nicobar IslAnds,Eastern Region,Jan-24,63,60,3,5.00%
India,FY-2023,Andhra Pradesh,Southern Region,Jan-24,12216,12216,0,0.00%
India,FY-2023,Arunachal Pradesh,North East Region,Jan-24,181,181,0,0.00%
India,FY-2023,Assam,North East Region,Jan-24,1538,1538,0,0.00%
India,FY-2023,Bihar,Eastern Region,Jan-24,5715.310792,5715.310792,0,0.00%
India,FY-2023,ChAndigarh,Northern Region,Jan-24,348,348,0,0.00%
India,FY-2023,Chhattisgarh,Western Region,Jan-24,5337.7338,5334,3.73,0.00%
India,FY-2023,Delhi,Northern Region,Jan-24,5816,5816,0,0.00%
India,FY-2023,Goa,Western Region,Jan-24,720.5073,719.5,1.01,0.00%
India,FY-2023,Gujarat,Western Region,Jan-24,21861,21861,0,0.00%
India,FY-2023,Haryana,Northern Region,Jan-24,9530,9530,0,0.00%
India,FY-2023,Himachal Pradesh,Northern Region,Jan-24,2181,2181,0,0.00%
India,FY-2023,JharkhAnd,Eastern Region,Jan-24,1908.051113,1904.717857,3.33,0.00%
India,FY-2023,Karnataka,Southern Region,Jan-24,15668.4525,15668.4525,0,0.00%
India,FY-2023,Kerala,Southern Region,Jan-24,4339.6619,4339.6619,0,0.00%
India,FY-2023,Lakshadweep,Southern Region,Jan-24,11.48965,11.48965,0,0.00%
